date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:55	11039/11039	---M-Z	200	added ('OK')	text/html	etag:%222b1f-5610e1e479f40-gzip%22	http://doc.superbtc.org/en/glossary/testnet.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/testnet.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:55	10799/10799	---M-Z	200	added ('OK')	text/html	etag:%222a2f-5610e1e56e180-gzip%22	http://doc.superbtc.org/en/glossary/regression-test-mode.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/regression-test-mode.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:55	303/303	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:51%20GMT	http://doc.superbtc.org/en/glossary/compactsize	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/compactsize	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:55	10175/10175	---M-Z	200	added ('OK')	text/html	etag:%2227bf-5610e0a4fed80-gzip%22	http://doc.superbtc.org/en/glossary/serialized-transaction.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/serialized-transaction.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:56	11691/11691	---M-Z	200	added ('OK')	text/html	etag:%222dab-5610fe68da700-gzip%22	http://doc.superbtc.org/en/glossary/transaction-fee.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/transaction-fee.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:56	10623/10623	---M-Z	200	added ('OK')	text/html	etag:%22297f-5610e1462a9c0-gzip%22	http://doc.superbtc.org/en/glossary/denominations.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/denominations.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:56	304/304	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:52%20GMT	http://doc.superbtc.org/en/glossary/block-reward	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/block-reward	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:56	299/299	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:52%20GMT	http://doc.superbtc.org/en/glossary/op-code	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/op-code	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:56	12732/12732	---M-Z	200	added ('OK')	text/html	etag:%2231bc-5610fab6cef00-gzip%22	http://doc.superbtc.org/en/glossary/pubkey-script.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/pubkey-script.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:57	10303/10303	---M-Z	200	added ('OK')	text/html	etag:%22283f-5610e19b0b200-gzip%22	http://doc.superbtc.org/en/glossary/standard-transaction.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/standard-transaction.html	(from http://doc.superbtc.org/en/developer-reference.html)
